Rank,Name,Score
1,UQCRFS1,2.022824723E9
2,ATP5B,2.02278817E9
3,ATP5C1,2.022786618E9
4,UQCRC2,2.022779318E9
5,UQCRC1,2.022775735E9
6,MDH1,2.010443696E9
7,MDH2,2.010402426E9
8,COX5B,2.006729742E9
9,CYCS,1.996979959E9
10,NDUFV2,1.934236945E9
11,NDUFA9,1.924084177E9
12,SLC25A3,1.057072339E9
13,NDUFA4,1.016110365E9
14,ACO2,1.006725065E9
15,NDUFAB1,9.65757575E8
16,SLC25A4,8.7818813E7
17,SUCLA2,1.4920013E7
18,NDUFA2,1.0932616E7
19,NHP2,5902868.0
20,RPS7,4757191.0
21,RPS19,4756953.0
22,RPL6,4755672.0
23,RPS21,4754527.0
24,RPL19,4754337.0
25,RPL24,4379311.0
26,FAU,4378686.0
27,EIF3G,4358095.0
28,EIF2S1,4006371.0
29,PFDN5,3998043.0
30,ATP5E,3675178.0
31,NSA2,1872848.0
32,IMMT,1459173.0
33,WDR12,1186076.0
34,UTP18,1183631.0
35,TSR1,1182818.0
36,SDAD1,1179735.0
37,RRP1,1176008.0
38,DDX56,1140737.0
39,DDX24,738050.0
40,TEX10,732245.0
41,MRPL15,450548.0
42,NSUN6,448800.0
43,CCT7,371589.0
44,DNTTIP2,364321.0
45,UBC,107345.0
46,PTEN,98265.0
47,PSMD4,93805.0
48,PSMD7,93144.0
49,PSMD12,91156.0
50,PSMB7,90720.0
51,PSMD5,85928.0
52,ATP6V1A,85826.0
53,PSME1,85704.0
54,TCIRG1,85692.0
55,ATP6V1G2,85684.0
56,ATP6V0B,85680.0
57,MRPL46,81712.0
58,DAP3,81703.0
59,MRPL40,81625.0
60,MRPL20,80814.0
61,ATP6V1B2,80772.0
62,MRPL48,80742.0
63,MRPL9,80696.0
64,MRPS28,80690.0
65,APOO,46246.0
66,NDUFB1,45366.0
67,GOT2,44907.0
68,CTPS1,42114.0
69,PPA1,40607.0
70,RUNX3,40534.0
71,CDC25A,40528.0
72,RRAGA,40502.0
73,RRAGB,40492.0
74,FTSJ1,40440.0
75,LAMTOR3,40352.0
76,ITFG2,40321.0
76,RPMS17,40321.0
78,SNAP25,36607.0
79,MAPT,33828.0
80,BDNF,33294.0
81,UCHL1,29576.0
82,MAP1B,27801.0
83,NTRK2,27706.0
84,SNCA,24499.0
85,APP,20361.0
86,STMN2,16408.0
87,JUN,15841.0
88,EEF1A2,15293.0
89,TUBB3,12740.0
90,IGF1,12289.0
91,MAP2K1,11112.0
92,RAF1,10805.0
93,CDC42,10233.0
94,SRP54,10160.0
95,UCHL5,8515.0
96,ENO2,7425.0
97,JAK2,7191.0
98,CSK,6089.0
99,PEBP1,6066.0
100,NEFM,5990.0
