Rank,Name,Score
1,PTEN,91.0
2,JUN,79.0
2,UBC,79.0
4,EP300,77.0
5,CDC42,75.0
6,SNAP25,62.0
7,MAPT,61.0
8,CYCS,58.0
9,BDNF,56.0
10,SNCA,55.0
11,APP,48.0
12,IGF1,46.0
13,ATP5B,43.0
14,ACO2,42.0
14,NHP2,42.0
16,CCT7,41.0
16,EIF2S1,41.0
18,CAV1,39.0
19,ATP5C1,37.0
20,NTRK2,36.0
20,PKM,36.0
22,MAP2K1,35.0
22,PSMD7,35.0
22,PSMD4,35.0
25,RAF1,34.0
25,ABL1,34.0
25,NDUFAB1,34.0
25,HDAC2,34.0
29,ENO2,32.0
29,XRCC6,32.0
29,MDH1,32.0
32,MFN2,31.0
32,WDR12,31.0
32,RPL6,31.0
32,MRPL15,31.0
32,CXCR4,31.0
37,PSMD12,30.0
37,RPS7,30.0
37,JAK2,30.0
37,RPS19,30.0
37,NDUFA9,30.0
37,MDH2,30.0
43,UQCRC1,29.0
43,UQCRC2,29.0
45,FAU,28.0
45,HSP90B1,28.0
45,POLR2C,28.0
45,PFDN5,28.0
45,CHD4,28.0
45,UBE2N,28.0
51,MAPK10,27.0
51,SF3B1,27.0
51,RPL19,27.0
51,UBE2V2,27.0
51,STAT5A,27.0
51,COPS5,27.0
51,ITPR1,27.0
58,EIF3G,26.0
58,PRKDC,26.0
58,RPS21,26.0
58,UQCRFS1,26.0
58,STMN2,26.0
58,SOX9,26.0
58,CALM1,26.0
58,ARRB1,26.0
66,IQGAP1,25.0
66,CDK7,25.0
66,CDC25A,25.0
66,UTP18,25.0
66,NDUFA4,25.0
66,NME1,25.0
66,NSA2,25.0
73,TSR1,24.0
73,SPI1,24.0
75,RBM25,23.0
75,SDAD1,23.0
75,KARS,23.0
75,CTPS1,23.0
75,ATP5E,23.0
75,WAS,23.0
75,COX5B,23.0
75,GOT2,23.0
75,DDX56,23.0
84,EGR2,22.0
84,HIST1H2AC,22.0
84,PSMB7,22.0
84,SIRT3,22.0
84,SLC25A3,22.0
84,NDUFV2,22.0
84,SNAP91,22.0
84,GJA1,22.0
84,GNG3,22.0
84,TUBB3,22.0
84,DDX24,22.0
84,TSC2,22.0
84,UCHL1,22.0
97,UCHL5,21.0
97,CSK,21.0
97,PIK3CB,21.0
97,IARS,21.0
