Rank,Name,Score
1,PTEN,421.2333333333302
2,JUN,413.6666666666635
3,CDC42,403.99999999999653
4,UBC,402.93333333333015
5,EP300,401.8166666666637
6,MAPT,398.3333333333288
7,SNCA,391.0499999999962
8,CYCS,386.1499999999967
9,APP,383.0833333333298
10,CAV1,380.6833333333308
11,SNAP25,380.09999999999684
12,BDNF,376.63333333333026
13,MAP2K1,371.4999999999966
14,IGF1,369.133333333331
15,EIF2S1,364.3333333333309
16,ABL1,361.7999999999974
17,CCT7,357.13333333333145
18,NTRK2,357.1333333333308
19,ITPR1,356.8833333333309
20,PSMD4,356.66666666666464
21,ATP5B,355.4833333333314
22,RAF1,355.1499999999975
23,PSMD7,355.08333333333127
24,PKM,353.8666666666646
25,HDAC2,352.53333333333103
26,ENO2,351.6499999999982
27,HSP90B1,351.0833333333316
28,NME1,350.44999999999845
29,PRKDC,349.3166666666641
30,ARRB1,348.583333333331
31,SIRT3,347.78333333333154
32,MFN2,346.73333333333187
33,COPS5,345.88333333333117
34,MAP1LC3B,345.44999999999845
35,XRCC6,345.43333333333123
36,CALM1,345.23333333333187
37,UCHL1,345.03333333333103
38,PSMD12,344.9666666666649
39,CXCR4,344.1833333333317
40,PRKCZ,343.83333333333127
41,MAPK10,343.3333333333318
42,ACO2,343.13333333333276
43,IQGAP1,342.16666666666487
44,POLR2C,341.949999999998
45,HIST1H2AC,341.63333333333134
46,JAK2,340.8499999999981
47,KARS,338.61666666666565
48,TUBB3,338.53333333333177
49,SIRT5,338.51666666666534
50,NHP2,338.43333333333294
51,TOP1,338.2333333333318
52,ATP5C1,338.16666666666566
53,GJA1,337.9499999999983
54,TSC2,336.4166666666648
55,EEF1A2,336.383333333332
56,CSK,336.34999999999826
57,PPP1CB,336.2833333333317
58,TUBA4A,335.7166666666657
59,CHD4,335.43333333333203
60,DVL1,335.3333333333314
61,EGR2,334.76666666666506
62,TNFRSF1A,334.7499999999985
63,SOX9,334.64999999999856
64,STAT5A,334.5833333333316
65,CDC25A,334.4499999999982
66,PEBP1,334.2999999999989
67,RPL6,334.2833333333325
68,RPS7,334.1333333333326
69,PSMB7,334.01666666666534
70,NDUFAB1,333.7166666666667
71,NCOR2,333.6833333333314
72,VAPA,333.0666666666661
73,GNB5,333.0666666666658
74,PRMT1,332.51666666666614
75,PRDX1,332.21666666666545
76,CDK7,331.69999999999874
77,MDH1,331.63333333333304
78,FAU,331.39999999999924
79,RPS19,331.33333333333263
80,RPS21,331.1666666666659
81,NDUFA9,330.98333333333335
82,SFPQ,330.6166666666657
83,SLC2A1,330.2499999999988
84,TAGLN3,330.1333333333326
85,GOT2,330.11666666666616
86,PIK3CB,330.0499999999988
87,CEBPB,329.98333333333187
88,KPNA2,329.8166666666655
89,CASP7,329.79999999999893
90,NDUFA4,329.53333333333296
91,GABARAPL2,329.483333333333
92,PPP3CA,329.43333333333254
93,RPL19,329.1999999999994
94,EIF3G,329.1333333333327
95,MAP2K4,328.8999999999984
96,HDAC5,328.71666666666556
97,UBE2V2,328.18333333333237
98,STMN2,327.69999999999953
99,HSPB3,327.53333333333256
100,PML,327.3833333333318
