Rank,Name,Score
1,PTEN,94.0
2,JUN,82.0
2,UBC,82.0
4,EP300,79.0
5,CDC42,78.0
6,MAPT,65.0
6,SNAP25,65.0
8,CYCS,59.0
9,SNCA,58.0
10,BDNF,56.0
11,APP,55.0
12,CCT7,48.0
13,IGF1,47.0
14,CAV1,46.0
15,ACO2,45.0
16,NHP2,44.0
17,ATP5B,43.0
18,EIF2S1,42.0
19,ATP5C1,39.0
20,NTRK2,38.0
20,PSMD4,38.0
22,MAP2K1,37.0
22,PSMD7,37.0
22,PKM,37.0
22,HDAC2,37.0
26,RAF1,35.0
26,ABL1,35.0
26,XRCC6,35.0
26,NDUFAB1,35.0
30,MDH1,34.0
31,ENO2,33.0
31,WDR12,33.0
31,RPS7,33.0
31,RPL6,33.0
35,MDH2,32.0
35,CXCR4,32.0
37,MFN2,31.0
37,JAK2,31.0
37,PFDN5,31.0
37,RPS19,31.0
37,MRPL15,31.0
37,NDUFA9,31.0
37,COPS5,31.0
44,FAU,30.0
44,POLR2C,30.0
44,UQCRC1,30.0
44,PSMD12,30.0
44,CHD4,30.0
44,CALM1,30.0
50,EIF3G,29.0
50,UBE2V2,29.0
50,STAT5A,29.0
50,NDUFA4,29.0
50,PEBP1,29.0
50,UQCRC2,29.0
50,UQCRFS1,29.0
50,SOX9,29.0
50,ARRB1,29.0
50,ITPR1,29.0
60,MAPK10,28.0
60,HSP90B1,28.0
60,SF3B1,28.0
60,UTP18,28.0
60,RPL19,28.0
60,UBE2N,28.0
66,HIST1H2AC,27.0
66,IQGAP1,27.0
66,KARS,27.0
66,PRKDC,27.0
66,RPS21,27.0
66,SLC25A3,27.0
66,NME1,27.0
66,NSA2,27.0
66,SPI1,27.0
75,ATP6V1A,26.0
75,CDK7,26.0
75,TSR1,26.0
75,GNB5,26.0
75,PPA1,26.0
75,STMN2,26.0
81,CDC25A,25.0
81,IMMT,25.0
81,GJA1,25.0
81,PRMT1,25.0
85,UCHL5,24.0
85,RBM25,24.0
85,PIK3CB,24.0
85,SDAD1,24.0
85,IARS,24.0
85,WAS,24.0
85,SIRT3,24.0
85,GOT2,24.0
85,DDX56,24.0
85,DDX24,24.0
85,VAPA,24.0
85,MAP1B,24.0
97,CTPS1,23.0
97,ATP5E,23.0
97,SOCS3,23.0
97,TOP1,23.0
