Rank,Name,Score
1,PTEN,468334.0
2,UBC,403550.0
3,CDC42,382894.0
4,EP300,379498.0
5,JUN,377914.0
6,MAPT,302920.0
7,CYCS,247762.0
8,APP,233388.0
9,SNAP25,230526.0
10,SNCA,216470.0
11,CAV1,203404.0
12,BDNF,194384.0
13,CCT7,149888.0
14,EIF2S1,135056.0
15,IGF1,129624.0
16,PKM,115146.0
17,SOX9,114524.0
18,PSMD4,114234.0
19,NHP2,106462.0
20,NTRK2,96312.0
21,CALM1,94602.0
22,ACO2,92834.0
23,MAP2K1,89634.0
24,ATP5B,88144.0
25,ITPR1,88040.0
26,GNB5,86606.0
27,PSMD7,84290.0
28,PRMT1,83662.0
29,VAPA,83352.0
30,ABL1,83140.0
31,PEBP1,81488.0
32,RAF1,80332.0
33,ENO2,79618.0
34,ARRB1,76960.0
35,POLR2C,76364.0
36,NME1,74914.0
37,XRCC6,74458.0
38,MFN2,73850.0
39,HDAC2,73482.0
40,RBFOX1,71336.0
41,CARM1,71266.0
42,STAT5A,69384.0
43,WDR12,67926.0
44,ATP5C1,66476.0
45,ATP6V1A,66394.0
46,COPS5,65308.0
47,CXCR4,62898.0
48,KARS,62538.0
49,RPS7,62084.0
50,COL1A1,61600.0
51,JAK2,61582.0
52,PRKDC,60938.0
53,CHD4,60424.0
54,HSP90B1,57886.0
55,NDUFAB1,56464.0
56,PFDN5,55708.0
57,THY1,55638.0
58,MEF2C,54096.0
59,FAU,53294.0
60,MT2A,52636.0
61,TUBA4A,52578.0
62,TOP1,52474.0
63,HIST1H2AC,52040.0
64,RBM25,51778.0
65,PPA1,51604.0
66,RPL19,51578.0
67,RPL6,50458.0
68,IQGAP1,50406.0
69,SF3B1,50250.0
70,RRP1,49970.0
71,RPS19,49956.0
72,PPP1CB,49916.0
73,CSNK1D,49880.0
74,NDUFA9,49652.0
75,ATOX1,49624.0
76,SIRT3,49604.0
77,GOT2,49058.0
78,MAPK10,49028.0
79,GJA1,48612.0
80,DVL1,48576.0
81,TNFRSF1A,48470.0
82,IMMT,47734.0
83,PSMD12,47728.0
84,KPNA2,47598.0
85,CDK7,47528.0
86,MDH1,47412.0
87,MYO1C,47172.0
88,TAGLN3,46882.0
88,ADK,46882.0
90,NDUFA4,46340.0
91,PRKCZ,46196.0
92,PPIG,45822.0
93,WDR37,45340.0
94,MRPL15,43994.0
95,GNG3,43980.0
96,DDX24,43456.0
97,EPB41,43120.0
98,UBE2V2,42936.0
99,UTP18,42648.0
100,TLN1,42232.0
